internet_datetime	IP	samp_type	samp_num	calib_num	calib_rep	date	time	vbatt	vtherm	vint	vext	isobatt	contemp	pHtemp	press	pHint	pHext	O2_MN	O2_SN	O2con	O2sat	O2temp	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Raw_Temp	SBEtemp	SBEcond	SBEsal	SBEday	SBEmon	SBEyear	SBEtime
2022-02-18T18:00:23Z	172.16.117.226	0	5051	1	0	2022/02/18	18:00:10	15.87	0.56523	0.075704	-0.87972	5.69	15.77	42.392	4.238	7.842625	7.608864	5730	2254	309.493	98.877	15.285	30.687	32.462	40.536	8.074	601.3	713.1	356.0	15.291	4.15348	33.4918	18	Feb	2022	10:14:13
2022-02-18T18:04:27Z	172.16.117.226	0	5052	1	0	2022/02/18	18:04:14	15.87	0.56528	0.075765	-0.879648	5.72	15.82	42.389	4.193	7.843616	7.610055	5730	2254	310.049	99.063	15.289	30.665	32.440	40.515	8.075	600.7	713.0	355.9	15.2924	4.15351	33.4908	18	Feb	2022	10:18:17
2022-02-18T18:08:31Z	172.16.117.226	0	5053	1	0	2022/02/18	18:08:18	15.87	0.56489	0.075768	-0.87966	5.72	15.85	42.41	4.002	7.843509	7.609562	5730	2254	310.256	99.143	15.296	30.655	32.430	40.504	8.074	600.3	713.0	355.7	15.3	4.15434	33.4918	18	Feb	2022	10:22:21
2022-02-18T18:12:35Z	172.16.117.226	0	5054	1	0	2022/02/18	18:12:22	15.87	0.56503	0.075834	-0.879597	5.72	15.87	42.402	4.102	7.844616	7.610673	5730	2254	310.754	99.316	15.302	30.635	32.410	40.486	8.076	599.9	712.9	355.5	15.3043	4.1547	33.4914	18	Feb	2022	10:26:25
2022-02-18T18:16:23Z	172.16.117.226	0	5055	1	0	2022/02/18	18:16:10	15.87	0.56454	0.07597	-0.879443	5.72	15.88	42.429	4.143	7.84661	7.612752	5730	2254	311.017	99.454	15.327	30.615	32.390	40.464	8.074	599.3	712.8	354.6	15.3498	4.15749	33.4777	18	Feb	2022	10:30:13
2022-02-18T18:20:27Z	172.16.117.226	0	5056	1	0	2022/02/18	18:20:14	15.87	0.56444	0.076006	-0.879407	5.72	15.88	42.434	4.082	7.847133	7.613245	5730	2254	311.121	99.502	15.334	30.609	32.384	40.457	8.074	599.0	712.6	354.4	15.3356	4.15831	33.4971	18	Feb	2022	10:34:17
2022-02-18T18:24:31Z	172.16.117.226	0	5057	1	0	2022/02/18	18:24:18	15.87	0.56455	0.076086	-0.879338	5.72	15.9	42.428	4.136	7.84846	7.614431	5730	2254	311.664	99.666	15.329	30.591	32.366	40.443	8.077	598.7	712.5	354.6	15.331	4.15717	33.4908	18	Feb	2022	10:38:21
2022-02-18T18:28:35Z	172.16.117.226	0	5058	1	0	2022/02/18	18:28:22	15.87	0.56405	0.076056	-0.879385	5.72	15.91	42.455	3.965	7.847789	7.613277	5730	2254	311.787	99.691	15.323	30.590	32.365	40.442	8.078	598.6	712.3	354.8	15.3152	4.15606	33.4943	18	Feb	2022	10:42:25
2022-02-18T18:40:23Z	172.16.117.226	0	1	0	0	2022/02/18	18:40:10	15.88	0.56493	0.075909	-0.879577	5.69	15.87	42.408	3.974	7.845788	7.61091	5730	2254	311.135	99.404	15.286	30.628	32.403	40.482	8.079	599.6	712.3	356.0	15.2559	4.15017	33.4919	18	Feb	2022	10:54:13
2022-02-18T19:00:23Z	172.16.117.226	0	3	0	0	2022/02/18	19:00:10	15.88	0.56442	0.076126	-0.879355	5.72	15.82	42.435	3.946	7.849042	7.614051	5730	2254	311.138	99.515	15.338	30.606	32.381	40.459	8.077	599.1	712.5	354.3	15.3628	4.15979	33.4873	18	Feb	2022	11:14:13
2022-02-18T19:10:23Z	172.16.117.226	0	4	0	0	2022/02/18	19:10:10	15.89	0.56358	0.075973	-0.87949	5.69	15.84	42.481	3.923	7.846278	7.611232	5730	2254	310.526	99.474	15.41	30.599	32.374	40.453	8.080	598.9	712.2	351.9	15.4605	4.16832	33.4806	18	Feb	2022	11:24:13
2022-02-18T19:20:23Z	172.16.117.226	0	5	0	0	2022/02/18	19:20:10	15.89	0.56291	0.076105	-0.8794	5.69	15.88	42.517	3.86	7.84811	7.612143	5730	2254	310.865	99.614	15.425	30.580	32.355	40.437	8.081	598.3	712.0	351.5	15.4508	4.16762	33.4825	18	Feb	2022	11:34:13
2022-02-18T19:30:26Z	172.16.117.226	0	6	0	0	2022/02/18	19:30:13	15.89	0.56221	0.076004	-0.879478	5.69	15.92	42.555	3.872	7.846236	7.610333	5730	2254	311.022	99.775	15.476	30.554	32.329	40.413	8.084	597.6	711.6	349.8	15.4921	4.17398	33.5045	18	Feb	2022	11:44:16
2022-02-18T19:40:28Z	172.16.117.226	0	7	0	0	2022/02/18	19:40:15	15.89	0.56224	0.076054	-0.879436	5.69	15.94	42.553	3.621	7.847046	7.611027	5730	2254	310.741	99.675	15.472	30.565	32.340	40.424	8.084	597.9	711.2	349.9	15.482	4.17134	33.4894	18	Feb	2022	11:54:18
2022-02-18T19:50:28Z	172.16.117.226	0	8	0	0	2022/02/18	19:50:15	15.89	0.56218	0.07611	-0.879399	5.69	15.96	42.556	3.815	7.847916	7.611568	5730	2254	310.756	99.668	15.466	30.567	32.342	40.429	8.086	597.9	711.1	350.1	15.4633	4.16912	33.4854	18	Feb	2022	12:04:18
2022-02-18T20:00:27Z	172.16.117.226	0	9	0	0	2022/02/18	20:00:14	15.89	0.5624	0.076241	-0.879288	5.69	15.96	42.545	3.614	7.850087	7.61351	5730	2254	311.688	99.934	15.451	30.540	32.315	40.403	8.088	597.2	711.1	350.6	15.4333	4.1672	33.4936	18	Feb	2022	12:14:17
2022-02-18T20:10:27Z	172.16.117.226	0	10	0	0	2022/02/18	20:10:14	15.89	0.56083	0.076047	-0.879427	5.72	15.97	42.63	3.761	7.846366	7.610046	5730	2254	311.135	100.018	15.573	30.510	32.285	40.373	8.088	596.3	711.0	346.7	15.6487	4.18521	33.4718	18	Feb	2022	12:24:17
2022-02-18T20:20:28Z	172.16.117.226	0	11	0	0	2022/02/18	20:20:15	15.89	0.56025	0.076155	-0.879326	5.72	16.02	42.661	3.565	7.847863	7.611196	5730	2254	310.338	99.783	15.583	30.534	32.309	40.399	8.090	597.0	710.6	346.3	15.5913	4.18218	33.4934	18	Feb	2022	12:34:18
2022-02-18T20:30:28Z	172.16.117.226	0	12	0	0	2022/02/18	20:30:15	15.9	0.56156	0.075907	-0.879653	5.72	16.05	42.59	3.621	7.844419	7.607034	5730	2254	310.993	99.781	15.484	30.552	32.327	40.418	8.092	597.4	710.4	349.6	15.4296	4.1623	33.4529	18	Feb	2022	12:44:18
2022-02-18T20:40:28Z	172.16.117.226	0	13	0	0	2022/02/18	20:40:15	15.9	0.56392	0.074917	-0.880728	5.69	16.02	42.463	3.43	7.829539	7.591731	5730	2254	307.051	98.174	15.322	30.760	32.535	40.625	8.090	603.1	710.5	354.8	15.0012	4.13204	33.5463	18	Feb	2022	12:54:18
2022-02-18T20:50:27Z	172.16.117.226	0	14	0	0	2022/02/18	20:50:14	15.9	0.5663	0.07473	-0.881018	5.72	15.94	42.334	3.368	7.827475	7.588972	5730	2254	300.51	95.772	15.171	31.063	32.838	40.927	8.089	611.4	710.9	359.7	15.0023	4.12502	33.4817	18	Feb	2022	13:04:17
2022-02-18T21:00:28Z	172.16.117.226	0	15	0	0	2022/02/18	21:00:15	15.9	0.56642	0.074992	-0.880786	5.72	15.84	42.328	3.353	7.831723	7.592779	5730	2254	300.902	95.922	15.183	31.043	32.818	40.903	8.084	610.9	711.8	359.3	15.1216	4.13372	33.4583	18	Feb	2022	13:14:18
2022-02-18T21:10:27Z	172.16.117.226	0	16	0	0	2022/02/18	21:10:14	15.9	0.56104	0.076021	-0.879573	5.72	15.86	42.618	3.332	7.846047	7.607884	5730	2254	305.076	98.194	15.632	30.704	32.479	40.561	8.082	601.6	712.0	344.8	15.7916	4.20037	33.4858	18	Feb	2022	13:24:17
2022-02-18T21:20:27Z	172.16.117.226	0	17	0	0	2022/02/18	21:20:14	15.9	0.55853	0.07612	-0.879419	5.69	15.99	42.754	3.188	7.846632	7.608334	5730	2254	308.833	99.683	15.763	30.514	32.289	40.377	8.087	596.6	711.4	340.5	15.8941	4.21134	33.4965	18	Feb	2022	13:34:17
2022-02-18T21:30:28Z	172.16.117.226	0	18	0	0	2022/02/18	21:30:15	15.9	0.55752	0.076149	-0.879357	5.72	16.12	42.81	2.989	7.846686	7.608508	5730	2254	311.065	100.49	15.804	30.418	32.193	40.286	8.093	594.1	710.3	339.2	15.8972	4.21106	33.4914	18	Feb	2022	13:44:18
